,Movie_Title,Year,ThreeWords
457,The Damned United,2009,"['bremner', 'chop', 'cup']"
458,The Passion of Joan of Arc,1929,"['breaking', 'ecstasy', 'joan']"
459,Public Enemies,2009,"['20', 'backseat', 'billie']"
460,Silence of the Lambs,1991,"['acknowledgment', 'angle', 'anthrax']"
461,Wild At Heart,1990,"['corner', 'day', 'fried']"
462,Hannah and Her Sisters,1986,"['asking', 'bed', 'cigarette']"
463,Happy Feet,2006,"['47', 'adelies', 'beak']"
464,How to Train Your Dragon 2,22014,"['ambushed', 'astrid', 'crewmen']"
465,Rocky,1976,"['adrian', 'bums', 'cage']"
466,Limitless,2011,"['apartment', 'bunk', 'cage']"
467,Broken Embraces,2009,"['bed', 'belongs', 'caine']"
468,Big,1988,"['billy', 'clothes', 'dwarfs']"
469,Sicario,2015,"['balding', 'blinded', 'cnn']"
470,Eagle Eye,2008,"['deafening', 'elevator', 'expired']"
471,His Girl Friday,1940,"['aching', 'belly', 'cop']"
472,Stepmom,1998,"['00', '35', '400']"
473,Super 8,82011,"['bleeding', 'charles', 'continue']"
474,The Visitor,2008,"['arab', 'colleagues', 'come']"
475,The Planet of the Apes,2001,"['1967', 'aples', 'planet']"
476,Dumb and Dumber,1994,"['bedroom', 'crouches', 'cut']"
477,The Jacket,2005,"['becker', 'bed', 'blood']"
478,Star Trek First Contact,1996,"['airlock', 'batteries', 'bites']"
479,Five Easy Pieces,1970,"['blessing', 'bobby', 'conference']"
480,Confidence,2003,"['25', 'agent', 'brothers']"
481,Saving Mr. Banks,2013,"['don', 'goff', 'husband']"
482,Pride and Prejudice,2005,"['bennet', 'caroline', 'drawing']"
483,Pokemon Mewtwo Returns,2000,"['bad', 'battle', 'mew']"
484,The Ice Storm,1997,"['ben', 'chores', 'coffee']"
485,The Secret Life of Walter Mitty,2013,"['guts', 'guy', 'helicopter']"
486,Affliction,1999,"['drunk', 'fired', 'fumbles']"
487,Surrogates,2009,"['bobby', 'considering', 'distraught']"
488,Misery,1990,"['bag', 'barn', 'buster']"
489,Jane Eyre,2011,"['38', 'afraid', 'briggs']"
490,Fantastic Four,2005,"['ben', 'cargo', 'denting']"
491,White Christmas,1954,"['bob', 'car', 'church']"
492,Philadelphia,2005,"['blind', 'bruno', 'closing']"
493,Dark Star,1974,"['ah', 'asteroids', 'bomb']"
494,Legion,2010,"['bob', 'careening', 'dark']"
495,Godfather Part II,1974,"['adjourned', 'batista', 'booked']"
496,Kids,1995,"['beer', 'briefcase', 'casper']"
497,TRON,2010,"['36', '536', 'crane']"
498,Barry Lyndon,1975,"['angry', 'born', 'clothes']"
499,Indiana Jones and the Last Crusade,1989,"['brody', 'confused', 'diary']"
500,Avatar,2009,"['97', 'banging', 'bends']"
501,Year One,2009,"['claps', 'explodes', 'love']"
502,Sex and the City,2008,"['23', 'beaming', 'boyfriend']"
503,Jade,1995,"['database', 'imsdb', 'internet']"
504,Saw,2004,"['angrily', 'bringing', 'dead']"
505,RocknRolla,2008,"['07', 'cigarette', 'councilor']"
506,The Time Machine,2010,"['angry', 'blinding', 'dashes']"
507,Invictus,2009,"['bmw', 'enters', 'freeway']"
508,The Big Lebowski,1998,"['cross', 'dude', 'fishtail']"
509,Harold and Kumar Go to White Castle,2004,"['eating', 'ground', 'guys']"
510,Up,2009,"['ball', 'carl', 'congratulations']"
511,Strange Days,1995,"['beach', 'bucks', 'club']"
512,The Horse Whisperer,1998,"['apartment', 'barn', 'bolting']"
513,Jeux Interdits,1952,"['camp', 'claque', 'dollé']"
514,Jurassic Park III,2001,"['400', 'break', 'com']"
515,Mimic,1997,"['bloodshot', 'clears', 'flicks']"
516,Midnight in Paris,2011,"['balloon', 'christ', 'death']"
517,The American President,1995,"['ago', 'attack', 'come']"
518,Wild Hogs,2007,"['bud', 'chair', 'charge']"
519,All About Steve,2009,"['75', 'atlanta', 'crap']"
520,The Sting,2019,"['breakdown', 'caps', 'club']"
521,The Program,1993,"['camille', 'catching', 'cheerleaders']"
522,Ticker,2001,"['55', 'cap', 'drops']"
523,Scott Pilgrim vs the World,2010,"['heart', 'knives', 'know']"
524,Mr Brooks,2007,"['brooks', 'cars', 'comes']"
525,Horrible Bosses,2011,"['131', 'credenza', 'fuck']"
526,American Sniper,2015,"['43', 'body', 'casket']"
527,Bones,2005,['bones']
528,Tin Men,1987,"['133', '93', 'cut']"
529,Bound,1996,"['caesar', 'drink', 'fuck']"
530,Jurassic Park The Lost World,1997,"['animal', 'crunch', 'dinosaur']"
531,Batman 2,21992,"['bar', 'dance', 'dinky']"
532,8MM,81999,"['car', 'contact', 'envelope']"
533,Moonstruck,1987,"['church', 'coal', 'don']"
534,Larry Crowne,2011,"['couch', 'donut', 'going']"
535,Mr Blandings Builds His Dream House,1948,"['coffee', 'follows', 'going']"
536,Basic Instinct,1992,"['detective', 'fade', 'fuck']"
537,Orgy of the Dead,1965,"['dead', 'orgy']"
538,Taxi Driver,1976,"['500', 'brandy', 'cut']"
539,Into the Wild,2007,"['chris', 'dynamited', 'hat']"
540,Manhunter,1986,"['100', 'atlanta', 'family']"
541,Christ Complex,2012,"['anna', 'dominate', 'gust']"
542,Halloween,2018,"['cold', 'cont', 'eject']"
543,Rust and Bone,2012,"['ali', 'baseball', 'coma']"
544,The Black Dahlia,2006,"['bedroom', 'bucky', 'choking']"
545,Blood Simple,1984,"['abby', 'cigarette', 'curbside']"
546,Thirteen Days,2000,"['adams', 'bobby', 'debate']"
547,Mrs. Brown,1997,"['anybody', 'brown', 'bruises']"
548,Entrapment,1999,"['carlsby', 'customs', 'dazzling']"
549,Fight Club,1999,"['bob', 'corpse', 'dumpster']"
550,Star Trek,2009,"['echo', 'enterprise', 'guilt']"
551,RKO 281,2811999,"['biography', 'breakfast', 'endlessly']"
552,The Artist,2012,"['39', 'actress', 'barks']"
553,V for Vendetta,2006,"['closes', 'dead', 'dominic']"
554,The Game,2011,"['bullshit', 'christine', 'company']"
555,Despicable Me 2,22013,"['antonio', 'coconut', 'coffee']"
556,Citizen Kane,1941,"['ankle', 'coffee', 'forced']"
557,Chaos,2005,"['15', '20', 'dekker']"
558,The Limey,1999,"['dude', 'elaine', 'feels']"
559,The Hospital,1971,"['apartment', 'barbara', 'blue']"
560,Inglourious Basterds,2009,"['aldo', 'bridget', 'days']"
561,In the Loop,2009,"['boxer', 'chad', 'constituency']"
562,Eastern Promises,2007,"['bury', 'father', 'gifts']"
563,You Can Count On Me,2000,"['brian', 'car', 'christmas']"
564,The Bounty Hunter,2010,"['52', 'beeps', 'cass']"
565,The Big White,2005,"['base', 'basement', 'buried']"
566,Real Genius,1985,"['5in', '734px', '8in']"
567,Ghost Rider,2007,"['101', 'alight', 'black']"
568,Star Trek The Motion Picture,1979,"['251', '376', 'attack']"
569,Diner,1982,"['boogie', 'canol', 'eal']"
570,Capote,2006,"['aisle', 'bed', 'closes']"
571,Lone Star,1996,"['amado', 'apartment', 'black']"
572,Water for Elephants,2011,"['20', 'alert', 'august']"
573,Buried,2010,"['advanced', 'alan', 'arabic']"
574,Simone,2002,"['aghast', 'applauds', 'ashen']"
575,Malcolm X,1992,"['black', 'dope', 'economic']"
576,Sweeney Todd The Demon Barber of Fleet Street,2007,"['accusation', 'alive', 'dearie']"
577,Case 39,392010,"['63', 'abused', 'away']"
578,Armageddon,1998,"['blood', 'fumbles', 'harry']"
579,Wall E,1968,"['antennae', 'bnl', 'captain']"
580,Heist,2015,"['blane', 'breaking', 'convertible']"
581,Oblivion,2013,"['accessing', 'balance', 'clicks']"
582,Blue Valentine,2010,"['50', 'blue', 'cindy']"
583,Charade,1963,"['adam', 'busy', 'caught']"
584,The Lincoln Lawyer,2011,"['answer', 'bans', 'bullshit']"
585,Twilight New Moon,2009,"['117', 'bolts', 'diving']"
586,Total Recall,1990,"['cautiously', 'death', 'detonate']"
587,Two For The Money,2005,"['brandon', 'brownstone', 'gears']"
588,The Ladykillers,2004,"['arm', 'dorr', 'excuse']"
589,Midnight Express,1978,"['billy', 'campground', 'cats']"
590,The Cooler,2003,"['cut', 'doris', 'hand']"
591,Frankenstein,1994,"['commit', 'disregard', 'elizabeth']"
592,Watchmen,2009,"['angry', 'door', 'excuse']"
593,Save the Last Dance,2001,"['138', 'broke', 'end']"
594,G.I. Jane,1997,"['bamboo', 'bdlg', 'blood']"
595,Rise of the Guardians,2012,"['attack', 'bunny', 'bunnymund']"
596,Land of the Dead,2005,"['114', 'attacking', 'bad']"
597,The Lord of the Rings Fellowship of the Ring,2001,"['angle', 'chance', 'frodo']"
598,Meet John Doe,1941,"['689', 'ann', 'close']"
599,The Godfather Part III,1990,"['boat', 'cabin', 'darkness']"
600,Henry Fool,1998,"['approaches', 'away', 'bar']"
601,John Wick,2014,"['46', 'broken', 'buttoning']"
602,Peggy Sue Got Married,1986,"['county', 'couples', 'cufflinks']"
603,Metro,1997,"['alleyway', 'away', 'cars']"
604,Rush,2013,"['108aint', 'ext', 'horror']"
605,Get Carter,1971,"['brumby', 'carpark', 'dismantles']"
606,Bad Lieutenant,1992,"['afternoon', 'agitated', 'charge']"
607,Hannibal,2013,"['ambulance', 'bag', 'brothers']"
608,Ginger Snaps,2001,"['ass', 'brigitte', 'flies']"
609,Arctic Blue,1993,"['132', '82', 'ankle']"
610,Kramer vs Kramer,2016,"['allergic', 'billy', 'felt']"
611,Predator,1987,"['53', 'bear', 'bow']"
612,The Mechanic,2011,"['bishop', 'book', 'card']"
613,Big Eyes,2014,"['cookies', 'finished', 'guests']"
614,The Cider House Rules,1999,"['bomber', 'catch', 'clipboard']"
615,The Social Network,2010,"['apartment', 'cookies', 'eduardo']"
616,Punch Drunk Love,2011,"['anderson', 'com', 'entact']"
617,Men in Black 3,32012,"['automat', 'bullet', 'colonel']"
618,Chasing Sleep,2001,"['body', 'come', 'door']"
619,Mulholland Drive,2001,"['bake', 'black', 'chili']"
620,Zero Dark Thirty,2013,"['128', 'believe', 'daniel']"
621,Garden State,2004,"['benny', 'bought', 'boyfriend']"
622,Cinema Paradiso,1988,"['complicity', 'laughs', 'lined']"
623,Boondock Saints 2 All Saints Day,22009,"['62yrs', 'anger', 'blaze']"
624,Man in the Iron Mask,2010,"['awkwardly', 'bored', 'charge']"
625,The Day the Clown Cried,1972,"['boxcar', 'car', 'cling']"
626,Creation,2010,"['annie', 'charles', 'darwin']"
627,The Boxtrolls,2014,"['alley', 'chains', 'cheese']"
628,Mumford,1999,"['glances', 'linen', 'mumford']"
629,Double Indemnity,1944,"['camera', 'corpse', 'crack']"
630,Highlander,1986,"['_died_', 'brought', 'clanking']"
631,A Quiet Place,2018,"['bloodstained', 'coming', 'cups']"
632,Coriolanus,2012,"['coriolanus', 'hate', 'makes']"
633,Evil Dead,1981,"['ashly', 'axe', 'choking']"
634,The Way Back,2011,"['church', 'dialogue', 'dripping']"
635,The Rescuers Down Under,1990,"['bed', 'bianca', 'billy']"
636,The Blind Side,2009,"['130', '188', 'anne']"
637,Tamara Drewe,2010,"['ben', 'breaking', 'digging']"
638,Take Shelter,2011,"['concerned', 'curtis', 'driveway']"
639,500 Days of Summer,5002009,"['ahead', 'beat', 'bored']"
640,Hanna,2011,"['109', '39', 'crashing']"
641,From Here to Eternity,1953,"['deserted', 'ext', 'karen']"
642,The Long Kiss Goodnight,1996,"['christmas', 'foot', 'grimaces']"
643,The Hangover,2009,"['angrily', 'boss', 'car']"
644,Repo Man,1984,"['aliens', 'beer', 'doritos']"
645,Source Code,2011,"['40', 'busted', 'cease']"
646,Obsessed,2009,"['batting', 'drunk', 'fast']"
647,Bad Dreams,1988,"['80i', 'amber', 'cynthia']"
648,Rebel Without A Cause,1955,"['alley', 'couch', 'friends']"
649,Training Day,2001,"['alonzo', 'damnnnn', 'dick']"
650,Drive Angry,2011,"['ankle', 'bat', 'blood']"
651,Max Payne,2008,"['aisle', 'black', 'boot']"
652,The Kingdom,2007,"['al', 'beat', 'blown']"
653,Interstellar,2014,"['case', 'cooper', 'cornstalks']"
654,Red Riding Hood,2011,"['body', 'chasing', 'clamped']"
655,Rachel Getting Married,2008,"['30', '45', 'ali']"
656,Major League,1989,"['baseman', 'beaten', 'catcher']"
657,Black Panther,2018,"['cockpit', 'gets', 'greasy']"
658,The Rock,1996,"['16', 'attorney', 'bay']"
659,Almost Famous,2000,"['400', 'abstraction', 'cameron']"
660,The Mask,1994,"['buddy', 'celebrate', 'freeze']"
661,Raising Arizona,1987,"['baby', 'bedroom', 'boom']"
662,Blood and Wine,1997,"['74', '82', 'day']"
663,A Prayer Before Dawn,2018,"['4x4', 'billy', 'boxing']"
664,Arcade,1993,"['arcade', 'choice', 'computer']"
665,A Walk to Remember,2002,"['blasting', 'car', 'dinner']"
666,The Hudsucker Proxy,1994,"['amy', 'brilliantly', 'cylindrical']"
667,The Grapes of Wrath,1940,"['aroun', 'background', 'bellies']"
668,44 Inch Chest,442010,"['21st', 'archie', 'cock']"
669,Love and Basketball,2000,"['boxers', 'coach', 'envelope']"
670,U Turn,1997,"['buying', 'couple', 'dollar']"
671,From Dusk Till Dawn,1996,"['13', 'bad', 'class']"
672,Jaws 2,21978,"['beach', 'bringing', 'broke']"
673,Grand Theft Parsons,2004,"['backs', 'check', 'cigarette']"
674,Dragonslayer,1981,"['chuckle', 'come', 'doesn']"
675,Alien Nation,1988,"['agony', 'alien', 'chasing']"
676,Alien,1979,"['blood', 'dripping', 'heiroglyphics']"
677,Megamind,2010,"['amazing', 'bag', 'cusack']"
678,Black Swan,2010,"['apartment', 'ballet', 'black']"
679,The Piano,1993,"['chair', 'father', 'mother']"
680,The Cincinnati Kid,1965,"['bucks', 'kid', 'lancey']"
681,Indiana Jones IV,1984,"['bell', 'drops', 'hooks']"
682,Nurse Betty,2000,"['betty', 'flamberg', 'href']"
683,Detroit Rock City,1999,"['boys', 'bruised', 'concert']"
684,The Green Mile,1999,"['billy', 'bitterbuck', 'brutal']"
685,Bad Santa,2003,"['bullies', 'bumping', 'comes']"
686,Ghost Ship,2009,"['booming', 'cabins', 'civilian']"
687,Bad Day at Black Rock,1955,"['blood', 'dollars', 'jail']"
688,Point Break,1991,"['crashing', 'fat', 'man']"
689,La La Land,2016,"['audition', 'cover', 'hollywood']"
690,Final Destination 2,22003,"['family', 'leaves', 'nipple']"
691,American Graffiti,1973,"['coke', 'connie', 'crawl']"
692,Freddy vs. Jason,2003,"['arm', 'cellblock', 'closet']"
693,Frozen River,2008,"['bernie', 'christmas', 'day']"
694,The Day the Earth Stood Still,2008,"['close', 'determinedly', 'disappearance']"
695,Kill Your Darlings,2013,"['118th', 'comes', 'looks']"
696,Thor Ragnarok,2017,"['16', 'asgard', 'bounces']"
697,Pet Sematary,2019,"['card', 'daddy', 'ellie']"
698,Lost in Translation,2003,"['charlotte', 'city', 'drunk']"
699,Storytelling,2001,"['barking', 'best', 'brady']"
700,The Prestige,2006,"['angier', 'barns', 'bearded']"
701,Heavy Metal,1981,"['blum', 'dan', 'heavy']"
702,Toy Story,1995,"['400', 'abstraction', 'break']"
703,Pineapple Express,2008,"['cont', 'cuts', 'dale']"
704,Backdraft,1991,"['desk', 'fireman', 'follows']"
705,Silver Bullet,2012,"['bob', 'bullet', 'claw']"
706,The Sessions,2012,"['17a', 'chapel', 'clerk']"
707,The Butterfly Effect,2004,"['andrea', 'depressed', 'evan']"
708,Broadcast News,1987,"['broadcast', 'com', 'href']"
709,Deep Rising,1998,"['blink', 'captain', 'finnegan']"
710,Bean,1997,"['brutus', 'counter', 'englishmen']"
711,Chronicle,2012,"['andrew', 'drinking', 'drive']"
712,Wild Things Diamonds in the Rough,2005,"['box', 'buzzcut', 'clifford']"
713,Scream 3,32000,"['break', 'flashing', 'good']"
714,Twilight,2008,"['bella', 'bird', 'counter']"
715,Ed TV,1999,"['147', 'bat', 'block']"
716,Priest,2011,"['aaron', 'big', 'collapses']"
717,Drop Dead Gorgeous,1999,"['annette', 'bet', 'dancing']"
718,Speed Racer,2008,"['button', 'drawing', 'earthquake']"
719,Serenity,2005,"['98', 'agent', 'city']"
720,Platinum Blonde,1931,"['cigar', 'haven', 'say']"
721,Monkeybone,2001,"['banks', 'coma', 'dolls']"
722,Mean Streets,1973,"['bathroom', 'box', 'charlie']"
723,The Abyss,1989,"['bud', 'catfish', 'day']"
724,Cherry Falls,2000,"['annette', 'button', 'chocolate']"
725,Mighty Joe Young,1998,"['118', '70', 'california']"
726,The Hurt Locker,2009,"['ammo', 'astronaut', 'debris']"
727,The Devil Wears Prada,2006,"['blue', 'butler', 'emily']"
728,Hellboy 2 The Golden Army,22008,"['165', 'abe', 'album']"
729,Lake Placid,1999,"['accident', 'crocodile', 'crocodiles']"
730,Bridesmaids,2011,"['advice', 'allergic', 'annie']"
731,Do The Right Thing,1989,"['61', 'coconut', 'forgot']"
732,Go,1999,"['99', 'bathroom', 'car']"
733,The White Ribbon,2009,"['bored', 'eaten', 'eva']"
734,Shallow Grave,1995,"['15th', 'accountant', 'alex']"
735,The Ides of March,2011,"['did', 'duffy', 'governor']"
736,Brick,2006,"['afternoon', 'brendan', 'engineer']"
737,Space Milkshake,2013,"['anton', 'cutting', 'facts']"
738,Basquiat,1996,"['alarmed', 'balcony', 'chocolate']"
739,The Tourist,2010,"['ackerman', 'arrest', 'candlelit']"
740,Ed Wood,1994,"['day', 'ed', 'famous']"
741,Being Human,2008,"['hector', 'likes', 'master']"
742,Hellbound Hellraiser II,1988,"['26', 'ambiguous', 'cenobites']"
743,Four Rooms,1995,"['bellboys', 'blares', 'clinks']"
744,The Lion King,2019,"['brought', 'imsdb', 'internet']"
745,The Brothers Bloom,2008,"['20', '79', 'blood']"
746,High Fidelity,2020,"['cd', 'faster', 'gaye']"
747,Lord of War,2005,"['deals', 'girlfriend', 'leone']"
748,Margot at the Wedding,2007,"['approach', 'book', 'butterflied']"
749,Hard to Kill,1990,"['ceiling', 'condom', 'converted']"
750,Newsies,1992,"['81', 'charge', 'column']"
751,Pretty Woman (final script),1990,"['attorney', 'barney', 'board']"
752,Monte Carlo,2011,"['airplane', 'class', 'closing']"
753,Foxcatcher,2015,"['boxer', 'brandon', 'dave']"
754,The LEGO Movie,2014,"['bf', 'did', 'dinner']"
755,Moonrise Kingdom,2012,"['bleakly', 'bolts', 'book']"
756,Out of Sight,1998,"['adele', 'agent', 'blank']"
757,Donnie Brasco,1997,"['boobie', 'fbi', 'gonna']"
758,1492 Conquest of Paradise,14921992,"['amused', 'beach', 'columbus']"
759,Superfights,1995,"['database', 'internet', 'movie']"
760,Crank,2006,"['50a', 'anselmo', 'brandishing']"
761,Willow,1988,"['accordian', 'approach', 'armory']"
762,Game 6,62005,"['48th', '52', 'cab']"
763,Dances with Wolves,1990,"['buzzing', 'digging', 'flies']"
764,Godfather,1972,"['bout', 'counting', 'family']"
765,War Horse,2011,"['auctioneer', 'battle', 'david']"
766,Eight Legged Freaks,2002,"['buried', 'cadillac', 'cat']"
767,Black Rain,1989,"['alleys', 'bank', 'common']"
768,The Shipping News,2002,"['balanced', 'lobster', 'newsroom']"
769,Omega Man,2019,"['istrellix', 'man', 'omega']"
770,The Fighter,2010,"['09', '28', 'dicky']"
771,Beginners,2011,"['arthur', 'couch', 'created']"
772,Ni vu ni connu,1958,"['blaireau', 'bluette', 'bohème']"
773,Gandhi,1982,"['ashram', 'attention', 'ba']"
774,Life of Pi,2012,"['69', '85', 'abandoned']"
775,Runaway Bride,1999,"['bar', 'church', 'crowd']"
776,Dear White People,2015,"['dean', 'housewives', 'jelly']"
777,Finding Nemo,2003,"['crush', 'don', 'dory']"
778,The Last Station,2009,"['38', '41', '46']"
779,I am Sam,2002,"['beaming', 'busdriver', 'edition']"
780,No Country for Old Men,2007,"['91', 'beat', 'bell']"
781,The Martian,2015,"['capcom', 'does', 'potatoes']"
782,E.T.,1982,"['attack', 'driveway', 'elliott']"
783,Youth in Revolt,2010,"['basement', 'binoculars', 'cop']"
784,Cliffhanger,1993,"['alive', 'bolted', 'entire']"
785,Pretty Woman,1990,"['corporate', 'ferrari', 'hollywood']"
786,Mission Impossible II,2000,"['airspeed', 'close', 'gleaming']"
787,Leaving Las Vegas,1995,"['figgis', 'las', 'leaving']"
788,Aliens,1986,"['blood', 'burke', 'design']"
789,Beloved,1998,"['denver', 'dressed', 'eggs']"
790,Single White Female,1992,"['apartment', 'besch', 'blames']"
791,Les Tontons Flingueurs,1963,"['brûlée', 'coup', 'dans']"
792,Gothika,2003,"['corridor', 'cries', 'drip']"
793,The Road,2009,"['crying', 'family', 'fizzing']"
794,True Grit,2010,"['falling', 'missed', 'pulling']"
795,Inventing the Abbotts,1997,"['121', 'boathouse', 'bus']"
796,The Roommate,2011,"['cellphone', 'change', 'dinner']"
797,Peeping Tom,1960,"['carrying', 'detective', 'filled']"
798,Disturbia,2007,"['50', 'ashley', 'butcher']"
799,Hall Pass,2011,"['20', 'bouncer', 'club']"
800,Breakdown,1997,"['cab', 'cadillac', 'insane']"
801,When a Stranger Calls,1979,"['home', 'maintenance', 'new']"
802,After.Life,2010,"['begin', 'blue', 'eliot']"
803,Apt Pupil,1998,"['american', 'bus', 'cont']"
804,Sideways,2005,"['barrels', 'espn', 'gets']"
805,The Siege,1998,"['bus', 'closed', 'devereaux']"
806,Man on the Moon,1999,"['andy', 'backstage', 'cheerful']"
807,Sexual Life,2005,"['absolved', 'accidentally', 'bathroom']"
808,Soldier,1998,"['607', 'like', 'rat']"
809,Face Off,1997,"['archer', 'citizen', 'compass']"
810,Friday the 13th Part VIII Jason Takes Manhattan,131989,"['broadcast', 'court', 'dark']"
811,Authors Anonymous,2014,"['caption', 'colette', 'dining']"
812,Yes Man,2008,"['bank', 'bitches', 'brunch']"
813,The Matrix Reloaded,2003,"['booth', 'cruisers', 'flat']"
814,Days of Heaven,1978,"['76', 'days', 'heaven']"
815,I Am Number Four,2011,"['103', 'fly', 'henri']"
816,True Romance,1993,"['500px', 'body', 'courier']"
817,Gran Torino,2009,"['cake', 'korea', 'liquor']"
818,At First Sight,1999,"['20px', '734px', '75in']"
819,The Insider,2016,"['beat', 'cigarette', 'corporate']"
820,Snow Falling On Cedars,1999,"['coat', 'egos', 'graceful']"
821,Cedar Rapids,2011,"['bum', 'donuts', 'em']"
822,Code of Silence,1985,"['cause', 'cocaine', 'digital']"
823,Petulia,1968,"['archie', 'broadcast', 'happy']"
824,Spanglish,2004,"['blanc', 'dictionary', 'dollars']"
825,The Life of David Gale,2003,"['away', 'cowboy', 'day']"
826,Thunderbirds,2004,"['bad', 'come', 'counts']"
827,Taking Lives,2004,"['asher', 'car', 'cars']"
828,Warrior,2011,"['blue', 'brendan', 'day']"
829,Wanted,2008,"['assassins', 'blood', 'business']"
830,Wonder Boys,2000,"['97', 'bears', 'brown']"
831,Breaking Away,1979,"['bambino', 'blase', 'car']"
832,Alone in the Dark,2005,"['body', 'burke', 'fades']"
833,Hot Tub Time Machine,2010,"['adam', 'bachelor', 'cocaine']"
834,Above the Law,1988,"['bloodied', 'bombing', 'bringing']"
835,Punch Drunk Love,2016,"['com', 'drunk', 'href']"
836,The Fault in Our Stars,2014,"['cold', 'dials', 'died']"
837,Last Chance Harvey,2009,"['daughter', 'food', 'getting']"
838,Next,2007,"['cris', 'elevator', 'ferris']"
839,Straight Outta Compton,2015,"['booth', 'cuba', 'dope']"
840,Passengers,2016,"['aurora', 'bar', 'cont']"
841,The Verdict,1982,"['buy', 'cigarettes', 'franky']"
842,Cast Away,2000,"['big', 'bleeding', 'clouds']"
843,Rise of the Planet of the Apes,2011,"['anarchy', 'apes', 'caesar']"
844,Mission to Mars,2000,"['car', 'cavernous', 'cheek']"
845,Bottle Rocket,1996,"['anderson', 'href', 'wes']"
846,The Usual Suspects,1995,"['suspects', 'usual']"
847,The Descendants,2011,"['citizens', 'come', 'eye']"
848,Funny People,2009,"['al', 'bedroom', 'cont']"
849,Star Wars A New Hope,1977,"['cockpit', 'fighter', 'flanking']"
850,Zootopia,2016,"['bellwether', 'bonnie', 'box']"
851,The Best Exotic Marigold Hotel,2012,"['43', 'cricket', 'evelyn']"
852,Cold Mountain,2003,"['bucket', 'chickens', 'digging']"
853,Cellular,2004,"['911', 'asphalt', 'beach']"
854,Starman,1984,"['car', 'hoods', 'jenny']"
855,Unbreakable,2000,"['answering', 'bathroom', 'gotta']"
856,Mystery Men,1999,"['june', 'men', 'mystery']"
857,Dog Day Afternoon,1975,"['angle', 'boy', 'detaches']"
858,A Scanner Darkly,2006,"['arctor', 'bob', 'businessman']"
859,Star Wars The Empire Strikes Back,1980,"['afraid', 'captain', 'cave']"
860,The Miracle Worker,1962,"['annie', 'aunt', 'brew']"
861,Coraline,2009,"['accident', 'air', 'candy']"
862,Crazylove,2005,"['alarm', 'crawls', 'ext']"
863,The Beach,2019,['beach']
864,Next Friday,2000,"['aid', 'comes', 'gets']"
865,The Island,2005,"['3d', '59', 'blinks']"
866,Observe and Report,2009,"['detective', 'finest', 'golf']"
867,Memento,2000,"['distortion', 'int', 'probably']"
868,Kundun,1997,"['blue', 'bodyguard', 'boy']"
869,Judge Dredd,1995,"['216a', '302', 'body']"
870,Black Snake Moan,2007,"['cries', 'cure', 'cut']"
871,Austin Powers  The Spy Who Shagged Me,1999,"['auburn', 'austin', 'beetle']"
872,Gravity,2013,"['buttons', 'cabin', 'cont']"
873,Paul,2011,"['clive', 'coffee', 'dracula']"
874,Chinatown,1974,"['car', 'couple', 'evelyn']"
875,Escape From L.A.,1996,"['california', 'complex', 'criminally']"
876,The Neverending Story,1984,"['neverending', 'page', 'script']"
877,Anastasia,1997,"['anya', 'big', 'confused']"
878,Man On Fire,2004,"['abdomen', 'asleep', 'brother']"
879,Se7en,71995,"['awakens', 'california', 'chair']"
880,Notting Hill,1999,"['afford', 'britain', 'flying']"
881,So I Married an Axe Murderer,1993,"['charlie', 'drainpipe', 'family']"
882,It,2017,"['alley', 'attacked', 'basement']"
883,Hellraiser Hellseeker,2002,"['angelic', 'bus', 'dying']"
884,Heavenly Creatures,1994,"['arm', 'bedroom', 'crying']"
885,The Last Flight,1931,"['bathroom', 'bon', 'forgery']"
886,Alien 3,31992,"['alien', 'brother', 'does']"
887,The Replacements,2000,"['changes', 'cornerback', 'crack']"
888,Ex Machina,2015,"['afterthought', 'book', 'commotion']"
889,Bringing Out the Dead,1999,"['arm', 'burke', 'cab']"
890,The Italian Job,2003,"['abandoning', 'armed', 'calls']"
891,A Officer and a Gentlemann,1982,"['brought', 'database', 'gentleman']"
892,Barton Fink,1991,"['asleep', 'charlie', 'including']"
893,Ali,2001,"['ali', 'bradley', 'dancers']"
894,American Pie,1999,"['dad', 'date', 'finch']"
895,Jimmy and Judy,2006,"['camera', 'jimmy', 'judy']"
896,Clueless,1995,['clueless']
897,When Harry Met Sally,1989,"['brought', 'database', 'harry']"
898,Angel Eyes,2001,"['brakes', 'cars', 'couch']"
899,Sense and Sensibility,1995,"['flowers', 'gone', 'goodbye']"
900,A Most Violent Year,2015,"['119', 'burglar', 'buying']"
901,The Kids Are All Right,2010,"['blankets', 'chicken', 'clay']"
902,Transformers The Movie,1986,"['antibody', 'autobots', 'decepticon']"
903,Sweet Smell of Success,1957,"['column', 'contritely', 'finds']"
904,Ghost,1990,"['carl', 'computer', 'group']"
905,Mad Max 2 The Road Warrior,21981,"['approaching', 'bed', 'camp']"
906,Klute,1971,"['apartment', 'bargain', 'checks']"
907,Blade Trinity,2004,"['blade', 'born', 'foam']"
908,Analyze This,1999,"['31', 'ben', 'continued']"
909,Precious,2009,"['construction', 'daughter', 'day']"
910,Natural Born Killers,1994,"['35mm', 'blood', 'brother']"
911,Grand Hotel,1932,"['crosses', 'cut', 'dance']"
912,Gremlins,1984,"['barney', 'billy', 'candles']"
913,War for the Planet of the Apes,2017,"['angry', 'bowed', 'breath']"
