,Movie_Title,Year,ThreeWords
103,Grosse Point Blank,1997,"['actions', 'away', 'chalice']"
104,Badlands,2015,"['cadillac', 'doves', 'ext']"
105,Leviathan,1989,"['beck', 'damn', 'dejesus']"
106,The Sandlot Kids,1993,"['ball', 'baseball', 'beast']"
107,The Searchers,1956,"['captain', 'crosses', 'dead']"
108,The Battle of Algiers,1966,"['anger', 'arms', 'away']"
109,The Battle of Shaker Heights,2003,"['cookie', 'eve', 'friends']"
110,Boyhood,2014,"['bedroom', 'carol', 'grandma']"
111,Traffic,2000,"['ask', 'baking', 'california']"
112,Joker,2019,"['bounding', 'cops', 'dark']"
113,South Park,1997,"['bangs', 'bazztzt', 'bed']"
114,Confessions of a Dangerous Mind,2002,"['actual', 'beer', 'gun']"
115,American History X,1998,"['ask', 'blink', 'burger']"
116,L.A. Confidential,1997,"['errol', 'exley', 'home']"
117,The World is not Enough,1999,"['ceiling', 'covers', 'espionage']"
118,Extract,2009,"['87', 'accident', 'adult']"
119,Mute Witness,1995,"['andy', 'bathrobe', 'breaks']"
120,Nashville,2012,"['answering', 'bathroom', 'cadillac']"
121,Shame,2011,"['answer', 'boyfriend', 'carly']"
122,Withnail and I,1987,"['collapses', 'danny', 'eating']"
123,The Amityville Asylum,2014,"['bedroom', 'boy', 'cut']"
124,American Madness,1932,"['146', '170', 'cigarette']"
125,Three Kings,1999,"['big', 'building', 'captain']"
126,Erik the Viking,1989,"['erik', 'href', 'viking']"
127,The Addams Family,1991,"['135', 'eye', 'gets']"
128,Man Trouble,1992,"['18a', '53', '91']"
129,The Departed,2006,"['ass', 'billy', 'cars']"
130,Law Abiding Citizen,2009,"['angle', 'cellblock', 'finds']"
131,Ringu,1998,"['asakawa', 'brushing', 'cottage']"
132,Bamboozled,2000,"['117', 'box', 'delacroix']"
133,The American,2010,"['alpine', 'come', 'custodia']"
134,Sister Act,1992,"['betrays', 'choir', 'christy']"
135,The Imaginarium of Doctor Parnassus,2009,"['50', 'ballroom', 'better']"
136,Hellraiser Deader,2005,"['accept', 'betty', 'blade']"
137,Final Destination,2000,"['alex', 'bathtub', 'bed']"
138,The Help,2011,"['angelically', 'ankles', 'bought']"
139,Die Hard,1988,"['109', '30', '911']"
140,Collateral Damage,2002,"['200', 'beaten', 'dry']"
141,Panic Room,2002,"['duct', 'fresh', 'groans']"
142,Station West,1948,"['charlie', 'dissolve', 'drink']"
143,Fargo,2014,"['cadillac', 'car', 'carl']"
144,Wild Things,1998,"['away', 'dirty', 'don']"
145,Bad Teacher,2011,"['amy', 'apple', 'elizabeth']"
146,Star Trek Nemesis,2002,"['course', 'floats', 'insists']"
147,The Blues Brothers,1980,"['blues', 'com', 'database']"
148,After School Special,2003,"['71', 'deacon', 'final']"
149,Being John Malkovich,1999,"['buzzes', 'candelabras', 'couch']"
150,Escape From New York,1981,"['burning', 'ext', 'hour']"
151,Wall Street Money Never Sleeps,2010,"['533', 'dollars', 'jacob']"
152,Beauty and the Beast,2017,"['away', 'eagerness', 'esther']"
153,Nightbreed,1990,"['blood', 'boone', 'breaks']"
154,Light Sleeper,1992,"['ann', 'dead', 'dinner']"
155,Valkyrie,2008,"['communications', 'condors', 'drawing']"
156,Human Nature,2001,"['dental', 'eat', 'gabrielle']"
157,Tremors,1990,"['brent', 'maddock', 'tremors']"
158,Adaptation,2002,"['book', 'city', 'crazy']"
159,Margaret,2011,"['105', '80', 'excessive']"
160,Elizabeth The Golden Age,2007,"['35b', 'hate', 'hoofs']"
161,Tinker Tailor Soldier Spy,2011,"['214', '73', 'complete']"
162,30 Minutes or Less,302011,"['basketball', 'black', 'business']"
163,The Box,2009,"['70', 'arthur', 'bus']"
164,Virtuosity,1995,"['alexiev', 'funds', 'gun']"
165,Arthur,2011,"['arthur', 'bentley', 'day']"
166,The Three Musketeers,2011,"['129', '58', 'aramis']"
167,Cradle 2 the Grave,22003,"['archie', 'bombs', 'chase']"
168,Life As A House,2001,"['andrus', 'house', 'href']"
169,Robin Hood Prince of Thieves,1991,"['chest', 'crawling', 'duncan']"
170,Colombiana,2011,"['breakfast', 'cat', 'marshal']"
171,Groundhog Day,1993,"['black', 'dagger', 'doris']"
172,Minority Report,2002,"['15th', '1997', 'aug']"
173,Lord of the Rings Return of the King,2008,"['beating', 'bestial', 'final']"
174,Twins,1988,"['bandage', 'bans', 'continued']"
175,Tristan and Isolde,2006,"['alike', 'battle', 'crying']"
176,The Fugitive,1993,"['booms', 'check', 'driver']"
177,Amour,2012,"['26', 'closet', 'cooked']"
178,Strangers on a Train,1951,"['artificially', 'bruno', 'build']"
179,Gladiator,2000,"['beat', 'christians', 'dies']"
180,The Patriot,2000,"['combination', 'cows', 'especially']"
181,Back to the Future,1985,"['database', 'future', 'imsdb']"
182,Ghostbusters 2,21989,"['avenue', 'enter', 'ghostbusters']"
183,El Mariachi,1992,"['bartender', 'bed', 'cinder']"
184,Pirates of the Caribbean,2003,"['booms', 'elizabeth', 'hook']"
185,Up in the Air,2009,"['530', 'animation', 'change']"
186,Queen of the Damned,2002,"['blood', 'dark', 'floods']"
187,Star Wars The Phantom Menace,1999,"['ambassaodrs', 'bongo', 'crash']"
188,Easy A,2010,"['chair', 'dramatically', 'girl']"
189,Assassins,1995,"['don', 'hacker', 'kill']"
190,127 Hours,1272010,"['29', 'away', 'canyon']"
191,Anonymous,2011,"['arrest', 'day', 'john']"
192,X Men Origins Wolverine,2009,"['boy', 'creed', 'darlin']"
193,Braveheart,1995,"['away', 'believe', 'dead']"
194,Miami Vice,2006,"['500', 'cookies', 'facilitates']"
195,Kafka,1991,"['away', 'came', 'concierge']"
196,They,2002,"['align', 'bidi', 'charactername']"
197,Legend,1985,"['demon', 'faerie', 'faeries']"
198,Hackers,1995,"['cereal', 'confiscated', 'desk']"
199,The Grifters,1990,"['angry', 'bartender', 'betting']"
200,Moon,2009,"['112', 'alarmed', 'base']"
201,Frequency,2000,"['emmerich', 'frequency', 'href']"
202,Fair Game,2010,"['beat', 'cia', 'cigar']"
203,Feast,2006,"['bar', 'closed', 'coach']"
204,Eternal Sunshine of the Spotless Mind,2004,"['alligator', 'ask', 'blessed']"
205,State and Main,2000,"['78', 'ann', 'bob']"
206,Margin Call,2011,"['cohen', 'come', 'desk']"
207,The Pianist,2002,"['bed', 'bread', 'captain']"
208,Enough,2002,"['86', 'dances', 'disbelief']"
209,The Assignment,1997,"['aide', 'airport', 'carlos']"
210,Gangs of New York,2002,"['amsterdam', 'assistant', 'fight']"
211,Into the Woods,2014,"['baker', 'blossoming', 'charming']"
212,Anna Karenina,2012,"['couch', 'destroyed', 'dolly']"
213,Sugar,2009,"['airport', 'baseballs', 'counting']"
214,The Ugly Truth,2009,"['15', '98', 'chops']"
215,Cube,1997,"['cube', 'href', 'location']"
216,Jay and Silent Bob Strike Back,2001,"['anchorman', 'bad', 'bob']"
217,In the Bedroom,2002,"['bad', 'boats', 'bucks']"
218,Pandorum,2009,"['bash', 'bower', 'captain']"
219,Deep Cover,1992,"['bartender', 'blood', 'make']"
220,The Talented Mr. Ripley,1999,"['band', 'casts', 'church']"
221,Frozen (Disney),2013,"['couch', 'couldn', 'drops']"
222,Made,2001,"['cheese', 'flight', 'flush']"
223,The Great Gatsby,2013,"['daisy', 'disappears', 'fireworks']"
224,Sling Blade,1996,"['address', 'bible', 'charles']"
225,Reservoir Dogs,1992,"['bangs', 'beach', 'birthday']"
226,Machine Gun Preacher,2011,"['20', 'family', 'god']"
227,Fracture,2007,"['cell', 'cop', 'courtroom']"
228,Heat,1995,"['24', '40', 'bacon']"
229,The Flintstones,1994,"['154', 'betty', 'carrot']"
230,Hard Rain,1998,"['came', 'cocktails', 'dead']"
231,Casino,1995,"['broke', 'cards', 'crazy']"
232,Looper,2012,"['alleyway', 'barn', 'car']"
233,The Mummy,1971,"['angry', 'bars', 'calls']"
234,This is 40,402012,"['dairy', 'day', 'friends']"
235,Taking Sides,2003,"['bomb', 'british', 'delighted']"
236,My Week with Marilyn,2011,"['53', 'drive', 'glow']"
237,Star Wars The Force Awakens,2015,"['3po', 'boyfriend', 'explosions']"
